X (mm),Y (mm),Label
67.5177305,6.695035461,1
67.40425532,6.695035461,1
67.40425532,6.808510638,1
67.5177305,6.808510638,1
67.40425532,6.921985816,1
67.5177305,6.921985816,1
67.40425532,7.035460993,1
67.5177305,7.035460993,1
67.40425532,7.14893617,1
67.5177305,7.14893617,1
67.40425532,7.262411348,1
67.5177305,7.262411348,1
67.40425532,7.375886525,1
67.5177305,7.375886525,1
67.40425532,7.489361702,1
67.5177305,7.489361702,1
67.40425532,7.602836879,1
67.5177305,7.602836879,1
67.40425532,7.716312057,1
67.5177305,7.716312057,1
67.40425532,7.829787234,1
67.5177305,7.829787234,1
67.40425532,7.943262411,1
67.5177305,7.943262411,1
67.40425532,8.056737589,1
67.5177305,8.056737589,1
67.40425532,8.170212766,1
67.5177305,8.170212766,1
67.40425532,8.283687943,1
67.5177305,8.283687943,1
67.40425532,8.397163121,1
67.5177305,8.397163121,1
67.40425532,8.510638298,1
67.5177305,8.510638298,1
67.40425532,8.624113475,1
67.5177305,8.624113475,1
67.40425532,8.737588652,1
67.5177305,8.737588652,1
67.40425532,8.85106383,1
67.5177305,8.85106383,1
67.5177305,8.964539007,1
67.63120567,8.964539007,1
67.5177305,9.078014184,1
67.63120567,9.078014184,1
67.5177305,9.191489362,1
67.63120567,9.191489362,1
67.5177305,9.304964539,1
67.63120567,9.304964539,1
67.63120567,9.418439716,1
67.74468085,9.418439716,1
67.63120567,9.531914894,1
67.74468085,9.531914894,1
67.63120567,9.645390071,1
67.74468085,9.645390071,1
67.74468085,9.758865248,1
67.85815603,9.758865248,1
67.74468085,9.872340426,1
67.85815603,9.872340426,1
67.74468085,9.985815603,1
67.85815603,9.985815603,1
67.74468085,10.09929078,1
67.85815603,10.09929078,1
67.85815603,10.21276596,1
67.97163121,10.21276596,1
67.85815603,10.32624113,1
67.97163121,10.32624113,1
67.85815603,10.43971631,1
67.97163121,10.43971631,1
67.97163121,10.55319149,1
68.08510638,10.55319149,1
67.97163121,10.66666667,1
68.08510638,10.66666667,1
68.08510638,10.78014184,1
68.08510638,10.89361702,1
68.19858156,10.78014184,1
68.08510638,11.0070922,1
68.19858156,10.89361702,1
68.19858156,11.0070922,1
68.08510638,11.23404255,1
68.19858156,11.12056738,1
68.08510638,11.34751773,1
68.19858156,11.23404255,1
68.31205674,11.12056738,1
68.42553191,11.0070922,1
68.19858156,11.34751773,1
68.31205674,11.23404255,1
68.42553191,11.12056738,1
68.19858156,11.46099291,1
68.31205674,11.34751773,1
68.42553191,11.23404255,1
68.53900709,11.12056738,1
68.53900709,11.23404255,1
68.65248227,11.23404255,1
68.65248227,11.34751773,1
68.76595745,11.23404255,1
68.76595745,11.34751773,1
68.87943262,11.23404255,1
68.87943262,11.34751773,1
68.9929078,11.34751773,1
68.9929078,11.46099291,1
69.10638298,11.34751773,1
69.10638298,11.46099291,1
69.21985816,11.34751773,1
69.21985816,11.46099291,1
69.33333333,11.46099291,1
69.33333333,11.57446809,1
69.44680851,11.46099291,1
69.44680851,11.57446809,1
69.56028369,11.46099291,1
69.56028369,11.57446809,1
69.67375887,11.57446809,1
69.67375887,11.68794326,1
69.78723404,11.68794326,1
69.78723404,11.80141844,1
69.90070922,11.68794326,1
69.90070922,11.80141844,1
70.0141844,11.68794326,1
70.0141844,11.80141844,1
70.12765957,11.68794326,1
70.12765957,11.80141844,1
70.24113475,11.68794326,1
70.24113475,11.80141844,1
70.35460993,11.80141844,1
70.35460993,11.91489362,1
70.46808511,11.80141844,1
70.46808511,11.91489362,1
70.58156028,11.80141844,1
70.58156028,11.91489362,1
70.69503546,11.91489362,1
70.69503546,12.02836879,1
70.80851064,11.91489362,1
70.80851064,12.02836879,1
70.92198582,11.91489362,1
70.92198582,12.02836879,1
71.03546099,11.91489362,1
71.03546099,12.02836879,1
71.14893617,11.91489362,1
71.14893617,12.02836879,1
71.26241135,11.91489362,1
71.26241135,12.02836879,1
71.37588652,11.91489362,1
71.37588652,12.02836879,1
71.4893617,11.91489362,1
71.4893617,12.02836879,1
71.60283688,11.91489362,1
71.60283688,12.02836879,1
71.71631206,11.91489362,1
71.71631206,12.02836879,1
71.82978723,11.91489362,1
71.82978723,12.02836879,1
71.94326241,11.91489362,1
71.94326241,12.02836879,1
72.05673759,11.91489362,1
72.05673759,12.02836879,1
72.17021277,11.91489362,1
72.17021277,12.02836879,1
72.28368794,12.14184397,1
72.28368794,12.02836879,1
72.39716312,12.14184397,1
72.39716312,12.02836879,1
72.5106383,12.02836879,1
72.5106383,11.91489362,1
72.62411348,12.02836879,1
72.62411348,11.91489362,1
72.73758865,12.02836879,1
72.73758865,11.91489362,1
72.85106383,12.02836879,1
72.85106383,11.91489362,1
72.96453901,12.02836879,1
72.96453901,11.91489362,1
73.07801418,11.91489362,1
73.07801418,11.80141844,1
73.19148936,11.91489362,1
73.19148936,11.80141844,1
73.30496454,11.80141844,1
73.30496454,11.68794326,1
73.41843972,11.80141844,1
73.41843972,11.68794326,1
73.53191489,11.80141844,1
73.53191489,11.68794326,1
73.64539007,11.80141844,1
73.64539007,11.68794326,1
73.75886525,11.80141844,1
73.75886525,11.68794326,1
73.87234043,11.68794326,1
73.87234043,11.57446809,1
73.9858156,11.68794326,1
73.9858156,11.57446809,1
74.09929078,11.57446809,1
74.09929078,11.46099291,1
74.21276596,11.57446809,1
74.21276596,11.46099291,1
74.32624113,11.57446809,1
74.32624113,11.46099291,1
74.43971631,11.46099291,1
74.43971631,11.34751773,1
74.55319149,11.46099291,1
74.55319149,11.34751773,1
74.66666667,11.46099291,1
74.66666667,11.34751773,1
74.78014184,11.34751773,1
74.78014184,11.23404255,1
74.89361702,11.23404255,1
74.89361702,11.12056738,1
75.0070922,11.23404255,1
75.0070922,11.12056738,1
75.12056738,11.12056738,1
75.12056738,11.0070922,1
75.23404255,11.12056738,1
75.23404255,11.0070922,1
75.34751773,11.0070922,1
75.34751773,10.89361702,1
75.46099291,11.0070922,1
75.46099291,10.89361702,1
75.57446809,10.89361702,1
75.57446809,10.78014184,1
75.68794326,10.78014184,1
75.68794326,10.66666667,1
75.68794326,10.55319149,1
75.80141844,10.66666667,1
75.80141844,10.55319149,1
75.80141844,10.43971631,1
75.91489362,10.43971631,1
75.91489362,10.32624113,1
76.02836879,10.32624113,1
75.91489362,10.21276596,1
76.02836879,10.21276596,1
76.02836879,10.09929078,1
76.14184397,10.09929078,1
76.02836879,9.985815603,1
76.14184397,9.985815603,1
76.02836879,9.872340426,1
76.14184397,9.872340426,1
76.14184397,9.758865248,1
76.25531915,9.758865248,1
76.14184397,9.645390071,1
76.25531915,9.645390071,1
76.25531915,9.531914894,1
76.36879433,9.531914894,1
76.25531915,9.418439716,1
76.36879433,9.418439716,1
76.36879433,9.304964539,1
76.4822695,9.304964539,1
76.4822695,9.191489362,1
76.59574468,9.191489362,1
76.4822695,9.078014184,1
76.59574468,9.078014184,1
76.4822695,8.964539007,1
76.59574468,8.964539007,1
76.70921986,8.964539007,1
76.59574468,8.85106383,1
76.70921986,8.85106383,1
76.82269504,8.85106383,1
76.59574468,8.737588652,1
76.70921986,8.737588652,1
76.70921986,8.624113475,1
76.82269504,8.624113475,1
76.70921986,8.510638298,1
76.82269504,8.510638298,1
76.70921986,8.397163121,1
76.82269504,8.397163121,1
76.93617021,8.397163121,1
76.82269504,8.283687943,1
76.93617021,8.283687943,1
77.04964539,8.283687943,1
76.82269504,8.170212766,1
76.93617021,8.170212766,1
76.93617021,8.056737589,1
77.04964539,8.056737589,1
76.93617021,7.943262411,1
77.04964539,7.943262411,1
76.93617021,7.829787234,1
77.04964539,7.829787234,1
77.04964539,7.716312057,1
